seed,alpha,gamma,epsilon,n_successes,n_successes_last_10_trials
1,0.2,0.6,0.7,52,6
1,0.2,0.6,0.8,41,6
1,0.2,0.6,0.9,22,1
1,0.2,0.6,1,22,1
1,0.2,0.7,0.1,88,9
1,0.2,0.7,0.2,83,6
1,0.2,0.7,0.3,59,7
1,0.2,0.7,0.4,67,4
1,0.2,0.7,0.5,59,7
1,0.2,0.7,0.6,45,4
1,0.2,0.7,0.7,47,2
1,0.2,0.7,0.8,33,4
1,0.2,0.7,0.9,22,1
1,0.2,0.7,1,22,1
1,0.2,0.8,0.1,93,10
1,0.2,0.8,0.2,79,9
1,0.2,0.8,0.3,77,7
1,0.2,0.8,0.4,75,7
1,0.2,0.8,0.5,53,5
1,0.2,0.8,0.6,55,5
1,0.2,0.8,0.7,49,5
1,0.2,0.8,0.8,45,4
1,0.2,0.8,0.9,24,4
1,0.2,0.8,1,27,1
1,0.2,0.9,0.1,91,10
1,0.2,0.9,0.2,71,6
1,0.2,0.9,0.3,81,8
1,0.2,0.9,0.4,74,7
1,0.2,0.9,0.5,57,6
1,0.2,0.9,0.6,47,4
1,0.2,0.9,0.7,43,4
1,0.2,0.9,0.8,33,4
1,0.2,0.9,0.9,25,3
1,0.2,0.9,1,18,1
1,0.2,1,0.1,84,8
1,0.2,1,0.2,77,9
1,0.2,1,0.3,76,9
1,0.2,1,0.4,77,6
1,0.2,1,0.5,51,3
1,0.2,1,0.6,54,6
1,0.2,1,0.7,41,3
1,0.2,1,0.8,36,4
1,0.2,1,0.9,27,3
1,0.2,1,1,19,4
1,0.3,0.1,0.1,90,10
1,0.3,0.1,0.2,90,9
1,0.3,0.1,0.3,85,7
1,0.3,0.1,0.4,83,6
1,0.3,0.1,0.5,69,8
1,0.3,0.1,0.6,57,6
1,0.3,0.1,0.7,46,3
1,0.3,0.1,0.8,35,3
1,0.3,0.1,0.9,35,2
1,0.3,0.1,1,21,3
1,0.3,0.2,0.1,93,9
1,0.3,0.2,0.2,91,8
1,0.3,0.2,0.3,91,8
1,0.3,0.2,0.4,80,7
1,0.3,0.2,0.5,66,7
1,0.3,0.2,0.6,57,5
1,0.3,0.2,0.7,42,5
1,0.3,0.2,0.8,47,7
1,0.3,0.2,0.9,30,4
1,0.3,0.2,1,18,0
1,0.3,0.3,0.1,88,8
1,0.3,0.3,0.2,88,10
1,0.3,0.3,0.3,81,7
1,0.3,0.3,0.4,78,8
1,0.3,0.3,0.5,69,8
1,0.3,0.3,0.6,63,10
1,0.3,0.3,0.7,43,3
1,0.3,0.3,0.8,41,6
1,0.3,0.3,0.9,34,3
1,0.3,0.3,1,21,2
1,0.3,0.4,0.1,89,10
1,0.3,0.4,0.2,90,10
1,0.3,0.4,0.3,81,9
1,0.3,0.4,0.4,77,9
1,0.3,0.4,0.5,66,9
1,0.3,0.4,0.6,56,4
1,0.3,0.4,0.7,53,7
1,0.3,0.4,0.8,49,6
1,0.3,0.4,0.9,20,0
1,0.3,0.4,1,21,3
1,0.3,0.5,0.1,91,10
1,0.3,0.5,0.2,87,10
1,0.3,0.5,0.3,83,7
1,0.3,0.5,0.4,77,9
1,0.3,0.5,0.5,62,6
1,0.3,0.5,0.6,58,7
1,0.3,0.5,0.7,40,4
1,0.3,0.5,0.8,42,5
1,0.3,0.5,0.9,26,3
1,0.3,0.5,1,21,2
1,0.3,0.6,0.1,86,8
1,0.3,0.6,0.2,87,9
1,0.3,0.6,0.3,84,9
1,0.3,0.6,0.4,73,7
1,0.3,0.6,0.5,64,5
1,0.3,0.6,0.6,50,3
1,0.3,0.6,0.7,51,4
1,0.3,0.6,0.8,31,3
1,0.3,0.6,0.9,29,5
1,0.3,0.6,1,25,2
1,0.3,0.7,0.1,93,8
1,0.3,0.7,0.2,77,6
